how many azure items does the other network have? 	you have twelve pink cashews, you have ten maroon carrots, you have eighteen azure persimmons 	eighteen 	azure
how many coral items does the other network have? 	you have two coral asparagus, you have one coral beet, you have two pink hazelnuts, you have eight coral mushrooms, you have ten red hazelnuts, you have four tan zucchini, you have five coral kohlrabis, you have five coral pecans, you have three coral plantains 	eight 	coral
how many brown items does the other network have? 	you have sixteen black chestnuts, you have fourteen beige leeks, you have nineteen blue sprouts, you have two brown squashes, you have six coral peanuts, you have two brown papayas 	two 	brown
how many lime items does the other network have? 	you have eighteen lime artichokes, you have two olive pumpkins, you have nineteen white radishes 	eighteen 	lime
how many green items does the other network have? 	you have four green limes, you have ten green blackberries, you have seventeen white quinces, you have ten brown kola nuts, you have two green tangelos, you have one green orange, you have fifteen green sapotes, you have thirteen green melons, you have ten grey haricots 	fifteen 	green
how many khaki items does the other network have? 	you have two khaki lemons, you have one khaki parsnip, you have nine red dragon fruits, you have six ruby eggplants, you have three khaki kohlrabis, you have five khaki persimmons, you have three khaki dragon fruits, you have eight azure tomatoes, you have one khaki hazelnut 	five 	khaki
how many grey items does the other network have? 	you have one grey kiwi, you have ten silver morels, you have sixteen lime peas 	one 	grey
how many teal items does the other network have? 	you have fifteen teal sweet potatoes, you have eleven indigo boysenberries, you have ten teal beets, you have twelve crimson haricots, you have eighteen teal onions, you have one teal soybean, you have three teal oranges, you have twenty magenta oranges, you have seven teal sweet potatoes 	eighteen 	teal
how many gold items does the other network have? 	you have two gold broccoli, you have eleven blue jackfruits, you have five indigo beets, you have twelve white pears, you have twelve gold longans, you have twelve gold longans, you have thirteen silver papayas, you have twenty azure papayas, you have ten gold longans 	twelve 	gold
how many gold items does the other network have? 	you have seven brown dates, you have twelve gold marulas, you have three gold cranberries, you have one gold plum, you have seven gold daikons, you have two tan apricots, you have thirteen gold sprouts, you have thirteen maroon apricots, you have three gold black-eyed peas 	thirteen 	gold
how many violet items does the other network have? 	you have thirteen violet passion fruits, you have twelve lime mangos, you have sixteen violet artichokes, you have nine violet tangelos, you have four violet pears, you have thirteen tan potatoes, you have three violet clementines, you have eight olive shallots, you have three violet kola nuts 	sixteen 	violet
how many ruby items does the other network have? 	you have fifteen teal peppers, you have two gold turnips, you have ten ruby leeks 	ten 	ruby
how many indigo items does the other network have? 	you have two maroon yams, you have eight indigo currants, you have eighteen orange parsnips, you have seven beige brazil nuts, you have seven indigo kola nuts, you have one indigo carrot 	eight 	indigo
how many maroon items does the other network have? 	you have eleven maroon raspberries, you have fifteen gold bananas, you have seven orange hazelnuts 	eleven 	maroon
how many orange items does the other network have? 	you have fourteen orange jackfruits, you have two lime pumpkins, you have three orange melons, you have seventeen orange daikons, you have two orange kumquats, you have twelve orange peas, you have thirteen cyan dragon fruits, you have ten purple carrots, you have three orange apricots 	seventeen 	orange
how many lavender items does the other network have? 	you have nineteen indigo onions, you have sixteen maroon parsnips, you have three lavender currants 	three 	lavender
how many silver items does the other network have? 	you have twelve silver sunflower seeds, you have one silver cherry, you have fifteen silver longans, you have six silver apples, you have twenty orange melons, you have two silver lemons, you have four gold persimmons, you have nine silver pumpkins, you have ten purple nectarines 	fifteen 	silver
how many ruby items does the other network have? 	you have one ruby shallot, you have one ruby soybean, you have fourteen ruby lentils, you have thirteen ruby rutabagas, you have ten crimson brazil nuts, you have two ruby lemons, you have eleven pink beets, you have eighteen teal cashews, you have eleven ruby radishes 	fourteen 	ruby
how many crimson items does the other network have? 	you have eleven yellow okras, you have twenty beige pears, you have sixteen crimson blueberries 	sixteen 	crimson
how many yellow items does the other network have? 	you have six yellow currants, you have five orange kola nuts, you have sixteen magenta jackfruits 	six 	yellow
how many blue items does the other network have? 	you have three indigo zucchini, you have eight violet potatoes, you have thirteen blue brussels sprouts 	thirteen 	blue
how many beige items does the other network have? 	you have eight pink sapotes, you have twenty beige sprouts, you have four orange mangos 	twenty 	beige
how many gold items does the other network have? 	you have four gold onions, you have five gold kakis, you have four gold lemons, you have eleven gold olives, you have thirteen turquoise oranges, you have six gold sweet potatoes, you have fifteen olive blackberries, you have eighteen white peppers, you have fifteen gold persimmons 	fifteen 	gold
how many turquoise items does the other network have? 	you have one turquoise ackee, you have eighteen green pears, you have three black longans, you have twelve khaki cherimoyas, you have seven blue pecans, you have one turquoise mango, you have six lime zucchini, you have seventeen maroon beets, you have one turquoise grapefruit 	one 	turquoise
how many beige items does the other network have? 	you have eighteen beige onions, you have seventeen indigo rutabagas, you have twelve teal quinces 	eighteen 	beige
how many cyan items does the other network have? 	you have eighteen pink passion fruits, you have sixteen cyan oranges, you have four brown raspberries 	sixteen 	cyan
how many turquoise items does the other network have? 	you have two turquoise brussels sprouts, you have six turquoise asparagus, you have seven silver walnuts, you have two turquoise black-eyed peas, you have six turquoise mangos, you have eleven ruby lemons, you have nineteen azure onions, you have ten brown mushrooms, you have two turquoise kakis 	six 	turquoise
how many beige items does the other network have? 	you have eleven teal beets, you have fifteen beige okras, you have sixteen teal watermelons, you have seven beige watermelons, you have nine indigo tangelos, you have eight beige pistachios 	fifteen 	beige
how many cyan items does the other network have? 	you have eighteen cyan pomegranates, you have eleven olive pomegranates, you have eight purple leeks 	eighteen 	cyan
how many gold items does the other network have? 	you have seven gold figs, you have twenty olive chickpeas, you have three maroon lychees 	seven 	gold
how many crimson items does the other network have? 	you have seven pink zucchini, you have fifteen violet peas, you have ten crimson cauliflowers, you have seven crimson kohlrabis, you have three crimson turnips, you have fourteen grey guavas 	ten 	crimson
how many white items does the other network have? 	you have eight silver kola nuts, you have two white clementines, you have ten red pineapples, you have thirteen violet cashews, you have two white cranberries, you have four white radishes 	four 	white
how many purple items does the other network have? 	you have thirteen coral pineapples, you have fifteen cyan nectarines, you have five purple sprouts 	five 	purple
how many olive items does the other network have? 	you have sixteen white lychees, you have eighteen ruby dates, you have six olive sweet potatoes 	six 	olive
how many grey items does the other network have? 	you have twelve violet boysenberries, you have sixteen teal ackees, you have sixteen pink dates, you have eighteen grey marulas, you have nineteen grey mangos, you have one grey lentil 	nineteen 	grey
how many beige items does the other network have? 	you have one beige kumquat, you have seventeen white dates, you have ten beige beets, you have five teal watermelons, you have six lime rutabagas, you have nine beige pomegranates 	ten 	beige
how many orange items does the other network have? 	you have sixteen orange kola nuts, you have eleven turquoise pineapples, you have eleven lavender avocados 	sixteen 	orange
how many pink items does the other network have? 	you have four pink pears, you have fourteen pink onions, you have one pink date, you have eight white nectarines, you have nineteen pink watermelons, you have nine turquoise sunflower seeds, you have nineteen pink kumquats, you have eighteen maroon longans, you have five azure lychees 	nineteen 	pink
how many silver items does the other network have? 	you have seventeen silver leeks, you have eleven silver artichokes, you have six silver dragon fruits, you have sixteen ruby artichokes, you have eleven maroon peas, you have eleven magenta sunflower seeds 	seventeen 	silver
how many yellow items does the other network have? 	you have eight khaki tangelos, you have nineteen lavender currants, you have one yellow peanut, you have one yellow avocado, you have six tan dragon fruits, you have twenty gold kola nuts 	one 	yellow
how many cyan items does the other network have? 	you have sixteen olive morels, you have six cyan cucumbers, you have four cyan limes, you have one cyan papaya, you have four cyan black-eyed peas, you have eighteen indigo pumpkins, you have one cyan fig, you have eighteen magenta daikons, you have two cyan kumquats 	six 	cyan
how many lime items does the other network have? 	you have three lime melons, you have eleven brown radishes, you have eleven indigo artichokes, you have three lime leeks, you have nine maroon onions, you have one lime orange, you have four lime cherries, you have fourteen gold radishes, you have one lime currant 	four 	lime
how many black items does the other network have? 	you have six black rutabagas, you have fifteen white longans, you have eleven black parsnips, you have fifteen purple broccoli, you have sixteen maroon quinces, you have five black kumquats 	eleven 	black
how many crimson items does the other network have? 	you have nine crimson persimmons, you have nine crimson pistachios, you have seven green cherimoyas, you have two maroon eggplants, you have eighteen lavender plums, you have eighteen crimson pistachios 	eighteen 	crimson
how many turquoise items does the other network have? 	you have two turquoise jackfruits, you have fifteen turquoise cucumbers, you have two cyan pears, you have seven turquoise blueberries, you have four turquoise parsnips, you have twelve silver blueberries, you have seventeen turquoise apples, you have fourteen pink chili peppers, you have six turquoise papayas 	seventeen 	turquoise
how many turquoise items does the other network have? 	you have one turquoise almond, you have fourteen coral quinces, you have six turquoise pears, you have eleven turquoise beets, you have two turquoise rutabagas, you have twelve turquoise soybeans, you have four turquoise artichokes, you have twelve yellow plums, you have ten green kiwis 	twelve 	turquoise
how many blue items does the other network have? 	you have twenty beige shallots, you have seventeen azure broccoli, you have twelve blue marulas 	twelve 	blue
how many turquoise items does the other network have? 	you have ten lime guavas, you have nineteen brown olives, you have one turquoise kohlrabi, you have four turquoise plums, you have three turquoise apricots, you have sixteen white tangelos 	four 	turquoise
how many grey items does the other network have? 	you have fourteen grey sunflower seeds, you have nineteen lime potatoes, you have eleven orange onions, you have three grey cauliflowers, you have three orange tomatillos, you have eleven grey sweet potatoes 	fourteen 	grey
how many turquoise items does the other network have? 	you have six cyan beets, you have sixteen turquoise pistachios, you have sixteen indigo pistachios, you have ten turquoise lentils, you have nine turquoise macadamia nuts, you have four turquoise longans, you have one turquoise date, you have twenty turquoise peppers, you have thirteen teal cauliflowers 	twenty 	turquoise
how many khaki items does the other network have? 	you have eighteen yellow onions, you have fourteen tan cabbages, you have four khaki daikons, you have six khaki almonds, you have fourteen beige pineapples, you have two khaki strawberries 	six 	khaki
how many indigo items does the other network have? 	you have seven grey lemons, you have nine brown lychees, you have fourteen green mangos, you have ten indigo apricots, you have nine indigo clementines, you have four indigo marulas, you have fourteen indigo parsnips, you have four indigo quinces, you have one indigo soybean 	fourteen 	indigo
how many blue items does the other network have? 	you have four blue lingonberries, you have twelve blue marulas, you have twelve blue grapefruits, you have four tan apples, you have seven indigo olives, you have one blue cucumber, you have seven blue sunflower seeds, you have seventeen azure broccoli, you have twenty beige shallots 	twelve 	blue
how many violet items does the other network have? 	you have one violet kiwi, you have eleven crimson hazelnuts, you have eight silver chestnuts, you have two black nectarines, you have one violet chickpea, you have two violet raspberries 	two 	violet
how many red items does the other network have? 	you have twenty lavender guavas, you have fifteen brown tomatillos, you have sixteen red pomegranates 	sixteen 	red
how many ruby items does the other network have? 	you have twelve brown papayas, you have five ruby oranges, you have twenty magenta mangos, you have ten magenta cherimoyas, you have four ruby cranberries, you have one ruby onion, you have seventeen tan yams, you have nineteen green eggplants, you have five ruby passion fruits 	five 	ruby
how many grey items does the other network have? 	you have six grey dates, you have one olive tangerine, you have seven cyan strawberries 	six 	grey
how many yellow items does the other network have? 	you have five yellow peaches, you have thirteen yellow kohlrabis, you have three yellow peaches, you have twelve yellow haricots, you have seventeen yellow black-eyed peas, you have one yellow plantain, you have thirteen brown rutabagas, you have fifteen crimson blueberries, you have seven cyan ackees 	seventeen 	yellow
how many cyan items does the other network have? 	you have fifteen khaki cucumbers, you have two indigo blueberries, you have one white clementine, you have one cyan kaki, you have fifteen blue clementines, you have one cyan turnip 	one 	cyan
how many yellow items does the other network have? 	you have nine yellow sweet potatoes, you have fourteen ruby kiwis, you have eighteen pink longans 	nine 	yellow
how many lime items does the other network have? 	you have four coral pecans, you have six lime watermelons, you have three lime cucumbers, you have one green cherry, you have five lime clementines, you have fifteen magenta artichokes, you have nine lime onions, you have nineteen red okras, you have four lime figs 	nine 	lime
how many black items does the other network have? 	you have twenty black plums, you have nine cyan tangerines, you have six violet eggplants 	twenty 	black
how many pink items does the other network have? 	you have six pink almonds, you have one teal pecan, you have eighteen coral boysenberries 	six 	pink
